"Data Source","World Development Indicators",

"Last Updated Date","2024-06-25",

"Cyprus","CYP","Population, total","SP.POP.TOTL","855383","873423","891190","908702","926046","943290","960276","976964","993563","1010408","1027662","1045507","1063713","1081563","1098083","1112612","1124833","1135046","1143866","1152285","1160985","1170187","1179680","1189265","1199000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Population, total","SP.POP.TOTL","10327253","10315241","10304131","10294373","10283860","10255063","10216605","10196916","10193998","10197101","10211216","10238905","10298828","10384603","10443936","10474410","10496088","10510785","10514272","10525347","10546059","10566332","10594438","10629928","10629000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Population, total","SP.POP.TOTL","81678051","81914831","82034771","82047195","82100243","82211508","82349925","82488495","82534176","82516260","82469422","82376451","82266372","82110097","81902307","81776930","80274983","80425823","80645605","80982500","81686611","82348669","82657002","82905782","82806000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Population, total","SP.POP.TOTL","630388","643654","660863","680463","699975","717584","733015","746942","759641","771603","783254","794563","805451","816358","827823","840198","853674","868136","883293","898696","913993","929112","944097","958920","974000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population, total","SP.POP.TOTL","71098","70936","70599","70185","69835","69650","69661","69837","70100","70382","70589","70718","70795","70827","70851","70878","70916","70965","71016","71085","71183","71307","71458","71625","72000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Population, total","SP.POP.TOTL","5233373","5263074","5284991","5304219","5321799","5339616","5358783","5375931","5390574","5404523","5419432","5437272","5461438","5493621","5523095","5547683","5570572","5591572","5614932","5643475","5683483","5728010","5764980","5793636","5818000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Population, total","SP.POP.TOTL","7819247","7952763","8084407","8214426","8343283","8471321","8598601","8724975","8850317","8974444","9097257","9218686","9338861","9458075","9576737","9695121","9813210","9930911","10048224","10165178","10281680","10397743","10513131","10627165","10739000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Population, total","SP.POP.TOTL","28757785","29266405","29742979","30192754","30623406","31042235","31451514","31855109","32264157","32692163","33149724","33641002","34166972","34730608","35333881","35977455","36661444","37383887","38140132","38923687","39728025","40551404","41389198","42228429","43053000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Population, total","SP.POP.TOTL","1717912312","1738960485","1759761226","1779799008","1798649990","1816466142","1833433229","1849617640","1865142700","1880258797","1895285323","1909901290","1924028068","1938067140","1952027348","1965964309","1980045666","1994401378","2008932012","2023609315","2038202511","2053116851","2068155660","2081651801","2093269000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Population, total","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Population, total","SP.POP.TOTL","1942431457","1965146504","1987315562","2008705489","2028650274","2047640119","2065912076","2083186112","2099602439","2115458616","2131146832","2146744075","2161785573","2177119142","2192059415","2206884624","2221673110","2236819053","2252046977","2267482299","2282855831","2298514046","2314202003","2328220870","2340080000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Population, total","SP.POP.TOTL","391293819","391652704","392007080","392243961","392211706","392301484","392050558","391720978","391882450","392243981","392658986","393216869","393919037","394991819","396743394","398783138","401012737","403265869","405778196","408278056","410844329","413361214","415710935","417797257","419413000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Population, total","SP.POP.TOTL","856212881","857577538","858882872","860015493","861035457","861993393","863083216","864648977","866925884","869516666","872163396","874862170","878004122","881531261","885170595","888627318","890862941","894486795","898766094","903129978","907498192","911812364","915420161","918793590","920901000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Population, total","SP.POP.TOTL","11455204","11703174","11951452","12198449","12442115","12681123","12914667","13143465","13369678","13596388","13825847","14059384","14296557","14535739","14774424","15011117","15243883","15474102","15707474","15951838","16212020","16491115","16785361","17084357","17374000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
